,text,intent_ovr
7553, CHAOS In Chicago As Thousands Of Protesters Shut Down Trump Rally (VIDEOS),facts
7023, Bruce Springsteen Just Unleashed His Fury On North Carolina And It Is Glorious,facts
13326,HILLARY’S VP NOMINEE PANDERS TO BLACKS: “I done apologized for slavery”,facts
15196,BREAKING: Rubio Top Official Punches Snarky Rand Paul Adviser At GOP Conference In Michigan,facts
6534," President Obama Restores Consumer’s Rights To Sue The Big Banks For Misconduct, Cracks Down On Tax Evasion",facts
6227, You Won’t Believe The Insane Anti-Obama Bullsh*t This Idiot ACTUALLY Wrote To His Local Paper,facts
13457,CLASSLESS OBAMA CRACKS JOKE While Addressing German Terror Attack [VIDEO],facts
5585, MI Republican Gov Rick Snyder Now Trying To Steal $550 Million Dollars From Teachers,facts
5871, Trump Accuses American Soldiers Of Stealing Millions Of Dollars Of Aid Money In Iraq (VIDEO),facts
6153, Rubio Just Kissed His Political Career Goodbye With One Tweet And The Internet Is Letting Him Know,facts
11417,No Ex-President In 100 Yrs Has Set Up A Shadow Government…Gone To Such Lengths To Undermine His Successor [VIDEO],facts
6114, Libertarian Candidate Strips On Stage During Convention (VIDEO),facts
11630,WATCH THE FIREWORKS! NAACP President FREAKS When He’s Asked If He’d “Be Okay With A Congressional White Caucus? [VIDEO],facts
8406," Republican: Porn Is Worse Than Cocaine, Gov’t Has To Act On ‘Public Health Crisis’",facts
18347,PERFECT! President Trump Is Laughing Hysterically In HILARIOUS New Video Featuring CNN Logo As Jim Carrey In “LIAR LIAR” Movie,facts
11912,"CONSERVATIVE Women DESTROY Crybaby, Safe Space Feminists Over Women’s March Against Trump’s Inauguration…And It’s HILARIOUS!",facts
18307,LIBERALS ARE AFRAID Of Kid Rock Running For U.S. Senate…Elizabeth Warren’s Panicked Email Proves It,facts
12675,DEMOCRAT OPERATIVES Caught Planning To Bully Women At Trump Rally [Video],facts
4145, WATCH: Trump Tries To Kiss Little Girl On The Lips And She Is NOT Thrilled About It,facts
12341,DELUSIONAL OBAMA BLAMES “Fake News” For Hillary’s Big Election Loss [Video],facts
4633, Leaked Emails Show Colin Powell Has STRONG Opinions On Donald Trump,facts
17873,LOL! RADIO STATION HOSTS Car Wash For Veterans…Uses NFL Jerseys To Wash Cars,facts
1069," Greedy Trump Cuts Takes Housing Money Away From The Poor, Protects Millions In Subsidies For Himself",facts
15223,"SAY WHAT? CITY OF BALTIMORE TO PAY DRUG DEALER, FREDDIE GRAY’S FAMILY $6.4 MILLION",facts
14855,WATCH: Black Pastors Come On Stage And Endorse Trump At Rally [Video],facts
18203,PRESIDENT TRUMP’S NEW CHIEF OF STAFF Wants His Boss To Stop Tweeting…But Only About One Thing,facts
2818, Twitter Just Tore Trump To Shreds After His Horrible Holocaust Statement (TWEETS),facts
20304,OUTRAGE! OBAMA’S FEDERAL Wildlife Officers (?) ARREST Journalists For Videotaping Open Borders [VIDEO],facts
14768,EPIC BACKFIRE: The Left Makes Video Warning Followers About Possible Cruz Victory…Ends Up Looking Like Cruz Promo,facts
5619," Lewandowski Defends Trump’s Anti-Semitic Tweet, Says Backlash Is ‘Political Correctness’ (VIDEO)",facts
20519,REGISTERED SEX OFFENDER Arrested After “Harassing” Little Girls In Girl’s Bathroom,facts
5636, WATCH: Bill Maher Hilariously Mocks Libertarians To Their Presidential Nominee’s Face,facts
4073, Reince Priebus Does WEIRD Balancing Act Regarding Trump’s ‘Rigged Election’ Talk,facts
12825,FUNNY! MSNBC ANCHOR ASKS Millennial Women If They Feel “Connected” To Hillary [VIDEO],facts
14839,Obama’s Delusion Continues In Vapid Address To The Nation : “ISIS Doesn’t Speak For Islam” [Video],facts
4393, Clinton Just Expertly Trolled Trump With This Very Special Calculator,facts
9305,WHY IS AL SHARPTON’S “Half-Brother” Registering Thousands Of Felons To Vote In Alabama’s Controversial Senate Race? [VIDEO],facts
14386,HOLY CASH COW! Check Out How Much Wall Street Funneled Into HILLARY’s Foundation/Slush Fund,facts
16669,U.S. TAXPAYERS FOOT $1.4 MILLION BILL So Obama Could APOLOGIZE For America’s Role In Argentina’s “Dirty War” [VIDEO],facts
16360,BREAKING: WIKILEAKS E-MAILS: SOROS AND CLINTON Working Together On “Police Reform” And BLM…REMEMBER “Implicit Bias”?,facts
13658,RACIST RANT From Supreme Court Justice Exposes Slanted Personal Opinion On Law Enforcement,facts
2296, ‘Lunatic’: Huge Backlash From Lawmakers After Trump’s ‘Wiretap’ Accusations,facts
19698,WOW! Governor Kasich Just Revealed How He Did His Part To Make Hillary Clinton Our Next President,facts
5866," Trump Tries To Court The Gay Community, Instead They Trend #LGBTQHatesTrumpParty (TWEETS)",facts
10537,"DEM REP, WIFE OF FELON CAUGHT On Tape Bragging About Inciting Violence At Trump Rallies, Makes Hilarious Claim About Number Of Seats Democrats Will Take In 2018 [VIDEO]",facts
14700,BEHIND THE CURTAIN: How Obama Plans To Prevent “Certain” Social Security Beneficiaries From Owning Guns,facts
8813, Bombshell Reveals Nazi Connection To the Koch Brothers,facts
19456,THE TRUTH ABOUT Why SORE LOSER Obama Is Using “Russian Hackers” Story [VIDEO],facts
15102,College Punishes Success By Not Allowing Yacht Club At Prestigious School [VIDEO],facts
5717, Michelle Obama And Her Daughters Are Visiting Africa – And Racists Are Having A Field Day (SCREENSHOTS),facts
3257," China Openly MOCKS Trump By Turning Him Into A Rooster, And It’s HILARIOUS (IMAGES)",facts
11323,What Neighbor Said About MUSLIM MAN ID’d As London Terrorist Speaks Volumes About The Danger Of “Islamic Non-Assimilation” [VIDEO],facts
15828,THE LIST OF OBAMA’S HISTORIC FIRSTS AKA HOW CHICAGO POLITICS CORRUPTED WASHINGTON EVEN MORE,facts
18778,WOW! BERKELEY MAYOR Who Allegedly Told Police To “Stand Down” Is Part Of Antifa Terrorist Facebook Group,facts
13267,TRUMP SUPPORTER RIPS INTO Reporter From CNN At Rally: “You are a traitor!’ [Video],facts
8127, Ted Cruz: ‘We Are One Justice Away’ From Stopping Every GOP Assault On Human Rights (VIDEO),facts
10240,"McMaster Gave Susan Rice Continued Access To Classified Info, She Still Has Clearance",facts
8573, This Brutal Ad Exposes Donald Trump For Every Liberal Position He’s Ever Had (VIDEO),facts
4843, House Conservatives Planning To End Paul Ryan: ‘You Got To Stab Somebody’,facts
5712, Trump’s Flip-Flop: Now He’s Complaining That Obama Deports Too Many People,facts
2146, The CBO Caught Trump In Another YUUUGE Lie; Entire Premise For Repealing Obamacare Out The Window,facts
18173,UPDATE ON 9/11 MEMORIAL Banned for “Triggering” College Snowflakes,facts
14895,TRUMP WARNS GOP ESTABLISHMENT AGAINST Pooling PAC Money To Take Him Out…,facts
147, Sarah Huckabee Sanders SHREDDED By L.A. Times For Truth-Twisting – This Is Brilliant,facts
9460,WATCH: MITT ROMNEY DOESN’T Think Roy Moore Deserves Fair Treatment In Questionable 40-Year-Old Sex Assault Allegations…Has Romney Already Forgotten What Harry Reid’s LIE Did To His Campaign?,facts
8164, Twitter Wishes Lincoln Happy Birthday With Hilarious #ThingsLincolnDidntSay Hashtag (TWEETS),facts
13380,WHY HILLARY LOVES The Idea Of Barack Obama As Supreme Court Justice,facts
8679, Ted Cruz Repeated His Truly Horrible JFK Impression And Got The Quote Wrong. Again! (VIDEO),facts
10907,“This Is TOTALLY FAKE!” Tucker Loses His Temper on Russia Conspiracy Hack [Video],facts
3430," HILARIOUS: Team Trump PANICKING As Pop Stars Reject His Hate, Refuse To Show Up For Inauguration",facts
17256,THE TOTAL COST TO TAXPAYERS FOR MOOCH’S EUROPEAN VACATION IS SICKENING,facts
13857,GOLF’S JACK NICKLAUS Weighs In On What Donald Trump Is Doing To America [Video],facts
5052," Fox News Host Makes Mike Pence SQUIRM, Says He Is Just Trump’s ‘Clean Up Crew’",facts
7056, Am I Voting For Hillary Because She’s A Woman? Here’s Your Answer (VIDEO),facts
13141,4 THINGS THE MEDIA WON’T TELL YOU About “Oppressed” Anti-American NFL QB Colin Kaepernick,facts
22149,SUNDAY SCREENING: ‘Air America: The CIA’s Secret Airline’ (2000),facts
2374, COVER UP: Sean Spicer Asked CIA And Top Republicans To Bury Russia Reports For Trump,facts
16827,"EYE-OPENING: Why Liberals Won’t Talk About White, Poverty-Stricken, Rural Americans",facts
5034, Obama Delivers The PERFECT Trump Insult That Will Make Republicans Cry,facts
3149, Racists DISGUSTINGLY Attack And Blame President Obama For Torture Of White Disabled Man,facts
21913,LISTEN TO THIS FORMER DOJ WHISTLEBLOWER,facts
8903, Watch Trump Fans Attack Peaceful Protesters Holding ‘America’s Already Great’ Sign (VIDEO),facts
1847, BREAKING: This New Analysis BAD News For Obamacare Haters (DETAILS),facts
18061,Southside Chicago Blacks Fight Against Liberal Elites On Removing Statues: “Leave that statue alone!” [Video],facts
14841,REPORTER INTERVIEWING TRUMP Refers To CA Terrorists As “Regular people”…Trump’s Response Is Nothing Short Of Awesome,facts
14825,"HELL FREEZES OVER…Or Does It? [Video] Hundreds Of Muslims In Dearborn, MI Take To Streets To Protest ISIS",facts
12473,YIKES! HILLARY GOES OFF THE RAILS…Pulls A Howard Dean [Video],facts
1350," Dear President Moron: Since You Don’t Seem To Get How NATO Works, Please Allow Me To Educate You",facts
7348," Bernie Sanders Gave EXCELLENT Speech On Israel, But Media Ignored It",facts
11410,NEWT GINGRICH ON WAR AGAINST TRUMP: “99% of State Dept. Donations Went to Hillary” [VIDEO],facts
9754,WATCH: DIVISIVE FORMER First Lady MICHELLE OBAMA Can’t Let Go Of Race-Obsession: People “Don’t Trust Politics” Because Republicans Are All “White Men”,facts
11214,AMBASSADOR JOHN BOLTON: Susan Rice Has “Real Legal Problems Here” [Video],facts
11347,WATCH: KIM JONG-UN Blows Up US Aircraft Carrier In Newly Released Video,facts
17372,(VIDEO) OBAMA ON LETTERMAN: “WE IGNORE POCKETS OF POVERTY” BUT OBAMA’S STIMULUS GAVE $1.8 BILLION TO BALTIMORE,facts
14939,GOVERNMENT SANTA CANDIDATE Gets Another Huge Endorsement… Just In Time For Christmas,facts
385, The Trump Administration Is Helping Scam Universities Steal Money From Their Students,facts
12718,WIKILEAKS: Why Is The Clinton “Scooby” Van Fitted With This? [Video],facts
21815,(VIDEO) RIOTERS TAKE SELFIES WITH TORCHED POLICE CAR,facts
5595," WATCH: Reince Priebus Lies Through His Teeth About Trump’s Star Tweet, And It’s Pitiful",facts
13601,Gwenyth Paltrow Can’t Understand Why She Was Named “MOST HATED CELEBRITY”,facts
1511, WATCH: ‘The View’ TRASHES Trump For Barring American Press From Covering Meeting With Russian Officials,facts
17341,"BUSTED: The Oh So Objective ABC News Chief Anchor, George Stephanopoulous Made Huge Donation To Clinton Foundation",facts
4655, Sam Bee DISMANTLES The Media For Letting Trump Be The Raging Liar He Absolutely Is (VIDEO),facts
11848,AWKWARD! CAMERAS CATCH HILLARY Catching Bill Clinton Checking Out Melania During Trump’s Inauguration [VIDEO],facts
6559," Arizona Governor Blocks 31,000 Low-Income Children From Access To Life Saving Healthcare",facts
4483, New Study Proves America Keeps Getting Better And Better Under Obama,facts
17590,NBC MANAGEMENT “Protected The Sh*t Out of Him”: Details of Married Matt Lauer’s Disgusting Acts Of Sexual Harassment Are REVEALED After Democrat Fan Boy Is Fired,facts
8275, Bernie Sanders Clarifies One Of His Most Divisive Talking Points (VIDEO),facts
22314,BREAKING: At Least 14 US Coalition Military Officers Captured by Syrian Special Forces in East Aleppo Bunker,facts
481," Trump Goes On Psychotic Mexico Rant During News Conference, Mexico Responds PERFECTLY (VIDEO)",facts
8988," Donald Trump’s First Campaign TV Ad Is Here, And It’s Worse Than We Imagined (VIDEO)",facts
22614,Hillary Flip-Flop Highlight Reel,facts
5025," NBC Chairman SHREDS ‘Demented’ Trump, Rips Ratings For The Apprentice",facts
21765,HAS FACE BOOK SIDED WITH MUSLIM JIHADISTS AGAINST FREE SPEECH? Muhammed Cartoon Contest Winner Is Removed From Social Media Site,facts
734, Trump Will ‘Torture’ Sessions Every Day Until He Resigns: Report,facts
14082,IS AN UGLY REVOLT INEVITABLE? Bernie Sanders Supporters Are Asked If They’ll Vote For Hillary If Bernie Loses Nomination [VIDEO],facts
15106,WATCH WHAT HAPPENS After Hillary Clinton Sends Her Book To The Ben Carson Campaign [Video],facts
2889," Border Chief Just Gave Trump A BRUTAL Reality Check About His Border Wall, Supporters DEVASTATED (VIDEO)",facts
1018, Eric Trump Unveils New Haircut In The Style Made Famous By Alt-Right Neo-Nazis (PHOTO),facts
3035, Trump Bragged That He Likes To Go To Russia Because The Women ‘Have No Morals’ (AUDIO),facts
19023,SHE’S GOT THE SCOOP! CATHERINE HERRIDGE: “Obama Put His Hands On The Scales Of Justice” [Video],facts
15335,[VIDEO] WHY THE RACE WAR IS NOT REALLY ABOUT RACE IT’S “ANARCHY IN ACTION”,facts
5577, Ex-Fox Exec Gets A Head Start On Painting Gretchen Carlson As A Liar (TWEETS),facts
17849,ANTI-AMERICAN GEORGE SOROS Locks Arms With NFL Against Trump,facts
17964,WOW! VIDEO CAPTURES Angry St. Louis Protesters Turning On Media…TV Reporter Calls Unprovoked Attack: “The Scariest Moment Of My Career”,facts
21953,Man Yells ‘CNN is Fake News!’ During Live NYC Broadcast,facts
12779,TRUMP NAILED IT! Everyone’s Calling THIS The Best Line Of The Night..Mic Drop Moment…[Video],facts
12442,WOW! LIBERAL ELECTION FRAUD EXPERT: Trump Landslide Was Enough To Counter Potential Massive Voter Fraud Effort By Hillary Campaign [VIDEO],facts
21261,UNIVERSITY WARNS: Make Sure Your Holiday Party Is Not A “Christmas Party” In Disguise,facts
13737,JUDICIAL BIAS? LATINA SUPREME COURT JUSTICE Declares Her Shockingly Racist View On Ethnicity And Sex When Judging,facts
1275, Trump Won This Typically Republican Demographic By Double Digits – Now They’re Turning On Him,facts
20680,DEMOCRATS ARE AFRAID That Trump Will Beat Hillary…And Here’s The Proof [VIDEO],facts
2548, REPORT: Chaos Reigns Inside The White House As Trump Considers Firing Priebus And Flynn,facts
22100,"BILDERBERG: More Secret Meetings with Trump Advisors, US Senators",facts
15067,BERNIE SANDERS Makes A Promise To All Americans That You Really Won’t Believe [Video],facts
13176,“TRUMPOCRATS” Speak Out: Lifelong Democrats Dump Hillary…Abandon Party To Support Trump [VIDEO],facts
1039," Trump Invites Friend Who Called For Hillary To Be Shot To Hang Out, Take Seflies In White House",facts
21642,MORE TRANSPARENCY: CLINTON’S REFUSE TO RELEASE HILLARY’S HEALTH RECORDS,facts
17672,MEGYN KELLY PRAISES Woman Who Flipped Off Trump: ‘What America’s All About’ [Video],facts
18053,"DEMOCRATS CONVENIENTLY FORGET 6,000 Prisoners Obama Pardoned Including Crack Dealer Who Committed Horrific Crime Against 3 Innocent Americans",facts
9613,BOOM! PRESIDENT TRUMP’S National Park Service CANCELS Taxpayer Funding For Project Honoring Violent Black Panther’s Group That Killed Park Ranger,facts
11429,FLASHBACK: Bill Clinton Had 93 Of 94 U.S. Attorneys FIRED IN ONE DAY…No Media Outrage [VIDEO],facts
3089, Donald Trump Just Gutted The Agency That Maintains Our Nuclear Arsenal,facts
781, Trump’s America: White Supremacist Blogger Given Job As Federal Judge,facts
12124,TUCKER CARLSON GRILLS Democrat Elector Who Supports Coup Against Trump [Video],facts
17337,UNREAL! OBAMA ADMIN PRESSURES LENDERS TO LOAN TO HIGH-RISK SECTION 8 WELFARE TAKERS,facts
2623, WATCH: Ted Cruz Claims Democrats Are “The Party Of The KKK” And Gets Instantly OWNED With Facts,facts
19446,YOU’LL LOVE MIKE ROWE’S Awesome Response To Angry Liberal Claiming American Flag Is A ‘Mere Symbol’,facts
5145, U.S. Nazi Party Leader: Trump’s Campaign Is A ‘Real Opportunity’ For White Nationalist (AUDIO),facts
12370,SHOCKER! IS MITT ROMNEY Being Considered For A Trump Cabinet Position?,facts
17123,(VIDEO) PRICELESS! DETROIT SINKHOLE TURNED INTO SOMETHING TOTALLY OUTSIDE THE BOX,facts
21375,GERMAN VOLUNTEERS HOLD WELCOME RALLY: Applaud As Muslim Migrants Sing Jihadist Songs [Video],facts
718," Scaramucci’s New Yorker Interview Is More Than Just Gross, It May Be A Felony",facts
950, Twitter Is Working On The Biggest F*ck You To Trump And You’re Going To Love It (DETAILS),facts
8913, Stolen Valor: Men In Oregon ‘Militia’ Caught Red-Handed Falsely Posing As Marine Veterans,facts
5687, Ted Cruz Holds Hearing On Why Obama Won’t Use The Words He Likes,facts
2396, While Chanting ‘USA! USA! USA!’ CPAC Attendees Wave Russian Flags (TWEETS),facts
14867,BREAKING: Putin Goes There! Russia Makes Serious Claim With New Information About Turkey And ISIS,facts
9816,Unhinged NBA Coach: ‘White People Especially’ Need To Be Made ‘Uncomfortable’ [Video],facts
4214," On Their Anniversary, Bill Writes Hillary A Love Note; The Right FLIPS Out",facts
11087,"DIAMOND AND SILK Open Up LARGE Can Of WHOOP A$$ On Maxine Waters In PAINFULLY FUNNY VIDEO: “When You Come For Donald Trump, We’re Coming For You!”",facts
3113, This BEAUTIFUL Celebrity Farewell Video To President Obama Will Have You BAWLING (VIDEO),facts
17231,CASTRO DEMANDS THE RETURN OF “ILLEGALLY OCCUPIED” GITMO BEFORE RESTORING DIPLOMATIC RELATIONS,facts
17208,15 YR OLDS IN THIS STATE CAN NOW GET STATE FUNDED SEX-CHANGE OPERATION WITHOUT PARENTAL CONSENT…But Need Consent To Use Tanning Bed,facts
10136,THE PURGE: NYC Mayor De Blasio to Review ‘All Symbols of Hate” on City Property,facts
14432,CUCKOO! BERNIE SANDERS SUPPORTER Gets Hammered By Stuart Varney! [Video],facts
7070," Donald Trump’s Statement After Losing Wisconsin Is Insane, Even For Him",facts
3077, Donald Trump Posts A Picture Of Himself With Ronald Reagan And All Hell Breaks Loose (TWEETS),facts
1724, Sarah Palin And Her White Trash Friends Get TORCHED For Disrespecting Hillary Clinton’s White House Portrait,facts
20972,"OBAMA’S AMERICA: CLIVEN BUNDY, 4 Others INDICTED… Face Up To 96 YEARS In Prison For 2014 Standoff [VIDEO]",facts
6430, It’s Happening: Trump Says Rudy Giuliani Will Head ‘Commission’ To Figure Out How To Ban Muslims,facts
23152,Philosopher Slavoj Žižek: ‘The American Left Lacks Authenticity’,facts
23210,Paul Craig Roberts: ‘By Cooperating with Washington on Syria & Russia Walked Into a Trap’,facts
23215,"SOPA False Flag? Alleged ‘Hack’ on Netflix, Twitter, Amazon – US ready to blame Russia",facts
20420,HILLARY CLINTON’S Super Detailed Counterterrorism Strategy…LOL,facts
12346,WORLD’S MOST FAMOUS VICTIMS Purchase Stunning Number Of Luxury Homes…Not A Bad Payout For A Couple Who Divided Our Nation,facts
20956,"NEW “Fair Share” App, “EQUIPAY” Allows Users To Split Restaurant Bill Between Guests, Based On Gender, Sex and Race",facts
5690, Elizabeth Warren Goes On ‘The View’ And Lets Us Know Her Plans For Trump (VIDEO),facts
1247, Comey Drops BOMBSHELL On Sessions: I Don’t Want To Be Alone With Trump (VIDEO),facts
13028,IF HILLARY HAS TO DROP OUT Of The Race…Here’s What Will Happen,facts
8951, Fox Host Claims Obama Used A ‘Raw Onion’ To Fake Cry Over Murdered School Children (VIDEO),facts
13816,ANGRY BERNIE REFUSES To Respond When TV Host Asks About Collapse Of Socialist Latin American Countries [VIDEO],facts
12087,MUST WATCH: Barack Obama After January 20th…This Will Make Your Day!,facts
22944,Trump’s Awkward First Date with Frau Merkel,facts
22886,PHILIPPINES: 2016 Washington’s Fury as Philippine’s Elections Threaten US Anti-China Policy,facts
3096, Trump Just Got RAZED After His Painfully Stupid Attack On The ‘Fake’ Media (TWEETS),facts
252," SURPRISE: The People Behind ‘Fearless Girl’ Statue Were Cynical, Greedy, Anti-Feminist Men",facts
8267, ‘Most Beautiful Girl In The World’ Is Only Ten – And Already Dealing With Sexist Attacks (IMAGES),facts
3529, Texas Lawmaker Files CRUCIAL Bill That Could Save Countless Lives (VIDEO),facts
13343,HILLARY PANICS…Totally Freezes When Protesters Shout…Secret Service Jumps Onstage [Video],facts
6288, WATCH: Louisiana GOP Rep SLAMS Her Sexist Male Colleagues On The Statehouse Floor,facts
18924,SEAN SPICER HITS LAME CNN: “Let’s actually look at what CNN reported.” [Video],facts
5138, ‘Fishy’: Trump’s Business Audit Reveals Why He Won’t Release His Taxes,facts
7528, Caitlyn Jenner Said Something About Trump That Will Make You Hate Her Even More,facts
15218,YOU’VE BEEN “TRUMPED”: Trump’s Response To Prez Candidate Bobby Jindal’s Attack On Him Is Epic [VIDEO],facts
21025,"NFL GIVES BEYONCE Super Bowl Half-Time Slot To Promote Cop Hate, Racial Division…Race-Baiting Hubby, JAY Z Makes $1.5 MILLION Donation To #BlackLivesMatter Terrorists",facts
23184,Prof Michel Chossudovsky discusses Hillary Clinton’s foreign policy & emerging nuclear risks,facts
17582,WHY IS AL SHARPTON’S “Half-Brother” Registering Thousands Of Felons To Vote In Alabama’s Controversial Senate Race? [VIDEO],facts
11352,TREY GOWDY Reminds Comey It’s 10 years in jail for Obama Officials Who LEAKED Info [Video],facts
11372,LOL! Democrat Congressman Says Best Way To Fight “Fake News” Is To Watch MSNBC [VIDEO],facts
22588,Exposed: The US is an Oligarchy Ruled by Billionaires and Dictators,facts
223, Hustler Owner Is So Fed Up With Trump That He Is Offering $10 Mill For Dirt To Get Him Impeached,facts
13196,LIBERAL MEDIA GETS HAMMERED At Rally By Trump Supporters Chanting: “Tell The TRUTH!” [Video],facts
16133,15 SURPRISING FACTS About The White House Easter Egg Roll,facts
16890,"IS OBAMA’S RADICAL AGENDA Responsible For State Department’s Misleading Report On Forced Labor, Prostitution And Human Slavery?",facts
5346, Drunken Cop Arrested After Holding Fast Food Workers At Gun Point (VIDEO),facts
17823,"DISGUSTING VIDEO EMERGES of LIBERAL ACTOR, and Democrat Donor, Ben Affleck That Should Have Ended His Career",facts
14637,RARE INTERVIEW WITH WHITE HOUSE SECRETARY: Bill Clinton Had Affairs With “thousands of women”…”Monica Lewinsky is alive today because of choices I made”,facts
10368,CHEVY CHASE ADMITS To Using Position At SNL To Push Democrats Over Republicans To Millions Of Viewers,facts
20762,HOLY MUSLIM INDOCTRINATION! Sesame Street Introduces Hijab Wearing Muppet,facts
8101, Black GOP Candidate: Party Bosses Told Me ‘You Sound Too Black’,facts
2451, Trump Tweets His Dumbest ‘Sweden’ Garbage Yet And Gets Torn APART By The Internet (TWEETS),facts
17447,OBAMA AND UNION LEADERS SELL OUT AMERICAN WORKERS By Turning Illegal Alien Into Union Members,facts
17692,HOW CAN ANYONE TRUST THEM? TWITTER Admits To Hiding ANTI-HILLARY and Negative DNC Tweets During Election,facts
6029, WHOA! Republican Governor Just Compared Donald Trump To Mass Murderer Dylann Roof (VIDEO),facts
13415,BREAKING: IRS Will Investigate “Lawless” CLINTON FOUNDATION On Charges Of “Public Corruption”…”Pay To Play” Activities,facts
21875,UPDATE: 40% OF VICTIM’S SKULL IS MISSING…No New Arrests [Graphic Video] PHILADELPHIA POLICE ASK FOR HELP IDENTIFYING GANG OF KIDS And Mother For Sub-Human Attack On Homeless Man With Hammer,facts
203, Trump Gets His A** Handed To Him By British Lawmakers For Lying About Rising Crime Rate In UK,facts
17432,https://fedup.wpengine.com/wp-content/uploads/2015/04/hillarystreetart.jpg,facts
4436, WATCH: Mika Brzezinski UNLOADS Fury Against Trump And His Buddies For Fat-Shaming Women,facts
1841, ‘Alt-Right’ Leader Richard Spencer Was Just Punched In The Head AGAIN Then Glitter Bombed,facts
22648,"BOILER ROOM – EP #46 – Murder, Witchery, Politricks & A Manatee",facts
4209, REPORT: The Vast Majority Of Trump’s Employees Hope He Loses In November,facts
21630,UNBELIEVABLE VIDEO OF NYPD COPS BEING PUNCHED BY MAN IN CROWD WHILE Woman Being Arrested Attempts To Steal Female Cops Gun,facts
14193,"FBI INVESTIGATION Into HILLARY’S Email Server Entering “Very, very dangerous phase” [VIDEO]",facts
21000,ENTITLED “REFUGEES” Taken To Flats In German Town…REFUSED To Get Off Bus…Said They Were Promised A House,facts
17175,NEWSFLASH FOR OUR IMPERIAL PRESIDENT: STATES CAN REFUSE IRAN DEAL [Video],facts
8784," Man Without Shirt Was Shivering On Train, What Happens Next Restores Faith In Humanity (VIDEO)",facts
17504,JUST IN: Obama Regime Helped Terror Group #Hezbollah Traffic Drugs In U.S “So The Iran Nuke Deal Would Go Ahead”…Proceeds Were Allegedly Used To Design New IED’s That Killed US Troops In Iraq,facts
2419, GOP Rep. Says People Could Use Bales Of Marijuana To Smuggle Nukes Into The Country (VIDEO),facts
12871,"WHAT WAS HE THINKING? DISHEVELED OBAMA YELLS From Air Force One At Bill Clinton: “Bill, Let’s Go!”",facts
9620,"WORLD’S MOST POPULAR Search Engine Places FICTIONAL Story At Top Of News Feed:”Melania Trump is Lonely, Racist and Obsessed With Michelle Obama”",facts
8802, Teary-Eyed 15-Year-Old Girl BEGS Y’all Qaeda To Leave: ‘I Shouldn’t Have to Be Scared In My Own Hometown’ (VIDEO),facts
250, Internet Collectively Cringes After Photographer Snaps Pic Of Trump’s Nutsack,facts
15808,WATCH WHAT HAPPENS WHEN COLLEGE STUDENTS ARE ASKED “Are you ready for Hillary”,facts
6523, This Hidden Camera Footage Reveals A Disturbing Fact About Kids And Guns (VIDEO),facts
14657,OBAMA READY TO DO BATTLE With America: Will “aggressively defend” Bringing Muslim Refugees To U.S.,facts
16523,MUST WATCH VIDEO! HERE’S THE MOST IMPORTANT AND DANGEROUS Thing Obama And Clinton Have In Common,facts
11485,LOL! CHUCKIE SCHUMER WARNS TRUMP Is “In Trouble” For Accusing Obama Of Wiretapping Trump Towers…What Schumer Says Next Is HILARIOUS!,facts
23054,More Fake News: Mainstream Media Lies About Trump ‘Evicting’ White House Press Corp,facts
9946,TEXAS CIVIL RIGHTS LAWYER and Dartmouth Grad Says He’d Be “OK if #BetsyDeVos was sexually assaulted” After DeVos Announced Law Would Be Restored In College Sex Assault Cases,facts
2607," Republicans Silenced Elizabeth Warren For Opposing Jeff Sessions, But Her Response Will TERRIFY Them (TWEETS)",facts
23399,(Don’t Hold The Press) Jeb Bush Endorses Ted Cruz For President,facts
16676,WATCH: NEWS CAMERAS CATCH Drug Smugglers Scale Border Fence To Arizona [Video],facts
14505,[VIDEO] MSNBC ANALYST AT LOSS TO EXPLAIN: Trump Runs Away With NH Vote In EVERY Category,facts
7592, This Third Grader OBLITERATED Donald Trump In A Letter Every Conservative Needs To Read (IMAGES),facts
19307,"BOOM! LEADERS Of 34,000 Black Churches Tell Members To Turn Backs On Race-Baiter-For-Hire Al Sharpton’s D.C. March Against Trump",facts
19616,TRUMP WARNED AMERICANS We’d Be “Sick Of Winning”…CNN Cries Trump Is Making Stock Market Rise Too Much…Could Hurt His Chances For Re-election [VIDEO],facts
19986,KID ROCK UNLOADS On Colin Kaepernick At Packed Fenway Park Concert…Crowd Goes WILD! [VIDEO],facts
23267,SUNDAY SCREENING: National Security Alert: The Pentagon Attack (2009),facts
14019,QUESTION: Which Presidential Candidate Spent The Most On Their Campaign So Far? The ANSWER May Surprise You…,facts
10746,NOT FUNNY! DRUDGE Calls Out Comedian #KathyGriffin for Tasteless ‘Beheading’ Trump Picture,facts
1802, ‘It’s Bullcrap:’ GOP Rep Claims Taxpayers Don’t Pay His Salary (VIDEO),facts
3708, Trump’s Plan To Repeal Obamacare Is Being DENIED By Health Care Professionals (VIDEO),facts
8001, Remember When David Letterman Hilariously Destroyed Trump’s China Rhetoric? (VIDEO),facts
4709, Trump Supporter Goes Off The Rails: ‘Hillary’s Place Is In Front Of A Firing Squad’ (VIDEO),facts
8956, President Obama Brought To Tears In Emotional Speech About Needing Smarter Gun Laws (VIDEO),facts
7702, Twitter Goes Ballistic After Trump’s Penis Joke: ‘Some Things You Just Can’t Fact-Check’ (TWEETS),facts
