,text,intent,intent_ovr
803,nope i didn't,noNode,convo
804,nah i didn't,noNode,convo
805,oh nah i didn't,noNode,convo
806,no i did not,noNode,convo
807,oh no i did not,noNode,convo
808,no i hadn't,noNode,convo
809,nope i hadn't,noNode,convo
810,oh nope i hadn't,noNode,convo
811,nah i hadn't,noNode,convo
812,oh nah i hadn't,noNode,convo
813,no i had not,noNode,convo
814,nope i had not,noNode,convo
815,nah i had not,noNode,convo
816,oh nah i had not,noNode,convo
817,no i guess,noNode,convo
818,oh no i guess,noNode,convo
819,oh nope i guess,noNode,convo
820,oh nah i guess,noNode,convo
821,no i think,noNode,convo
822,oh no i think,noNode,convo
823,nope i think,noNode,convo
824,nah i think,noNode,convo
825,oh nah i think,noNode,convo
826,no,noNode,convo
827,oh nope,noNode,convo
828,nah,noNode,convo
829,probably not,noNode,convo
830,that's false,noNode,convo
831,that's negative,noNode,convo
832,please don't,noNode,convo
833,don't,noNode,convo
834,please don,noNode,convo
835,don,noNode,convo
836,please don't do it,noNode,convo
837,don't do it,noNode,convo
838,please don do it,noNode,convo
839,don do it,noNode,convo
840,please don continue,noNode,convo
841,don continue,noNode,convo
842,no idea,noNode,convo
843,definitely not,noNode,convo
844,probably no,noNode,convo
845,definitely no,noNode,convo
846,i think i'm not,noNode,convo
847,i think i am not,noNode,convo
848,i think i don't,noNode,convo
849,i think i haven't,noNode,convo
850,i think i have not,noNode,convo
851,i think i wouldn't,noNode,convo
852,i think i would not,noNode,convo
853,i think i won't,noNode,convo
854,i think i will not,noNode,convo
855,i think i didn't,noNode,convo
856,i think i did not,noNode,convo
857,i think i hadn't,noNode,convo
858,i think i had not,noNode,convo
859,i don't think so,noNode,convo
860,i don't think i am,noNode,convo
861,i don't think i do,noNode,convo
862,i don't think i have,noNode,convo
863,i don't think i did,noNode,convo
864,i don't think i would,noNode,convo
865,i don't think that's a good idea,noNode,convo
866,i'm not,noNode,convo
867,i am not,noNode,convo
868,i don't,noNode,convo
869,i do not,noNode,convo
870,i haven't,noNode,convo
871,i would not,noNode,convo
872,i will not,noNode,convo
873,i didn't,noNode,convo
874,i hadn't,noNode,convo
875,i had not,noNode,convo
876,haven't,noNode,convo
877,didn't,noNode,convo
878,none,noNode,convo
879,neither,noNode,convo
880,i have no,noNode,convo
881,i have none,noNode,convo
882,i have not,noNode,convo
883,maybe later,noNode,convo
884,that's  not okay,noNode,convo
885,that's absolutely not okay,noNode,convo
886,that's really not okay,noNode,convo
887,that's  not ok,noNode,convo
888,that's totally not ok,noNode,convo
889,that's definitely not ok,noNode,convo
890,that's really not ok,noNode,convo
891,that's totally not ok,noNode,convo
892,that's absolutely not ok,noNode,convo
893,that's definitely not ok,noNode,convo
894,that's really not ok,noNode,convo
895,that's  not o.k.,noNode,convo
896,that's totally not o.k.,noNode,convo
897,that's absolutely not o.k.,noNode,convo
898,that's really not o.k.,noNode,convo
899,i don't  wanna,noNode,convo
900,i don't really wanna,noNode,convo
901,i don't  feel like it,noNode,convo
902,i don't really feel like it,noNode,convo
903,not right now,noNode,convo
904,not  now,noNode,convo
905,that's okay,noNode,convo
906,that's ok,noNode,convo
907,that's ok,noNode,convo
908,that's o.k.,noNode,convo
909,that's okay alexa,noNode,convo
910,that's ok alexa,noNode,convo
911,that's ok alexa,noNode,convo
912,maybe,maybeNode,convo
913,may be,maybeNode,convo
914,might be,maybeNode,convo
915,don't really know,maybeNode,convo
916,do not really know,maybeNode,convo
917,i do not really know,maybeNode,convo
918,i don't  know,maybeNode,convo
919,do not  know,maybeNode,convo
920,i do not  know,maybeNode,convo
921,i'm not  sure,maybeNode,convo
922,i am not  sure,maybeNode,convo
923,not quite sure,maybeNode,convo
924,i'm not quite sure,maybeNode,convo
925,i am not quite sure,maybeNode,convo
926,possibly,maybeNode,convo
927,i'm indifferent,maybeNode,convo
928,i am indifferent,maybeNode,convo
929,indifferent,maybeNode,convo
930,i can't remember,maybeNode,convo
931,can't remember,maybeNode,convo
932,i cannot remember,maybeNode,convo
933,cannot remember,maybeNode,convo
934,i can not remember,maybeNode,convo
935,can not remember,maybeNode,convo
936,i don't remember,maybeNode,convo
937,i don't really care,maybeNode,convo
938,i think it doesn't  matter,maybeNode,convo
939,it doesn't  matter,maybeNode,convo
940,that doesn't  matter,maybeNode,convo
941,doesn't  matter,maybeNode,convo
942,i think it doesn't really matter,maybeNode,convo
943,it doesn't really matter,maybeNode,convo
944,it's the same,maybeNode,convo
945,stop,stop,convo
946,i want to quit,stop,convo
947,exit,stop,convo
948,i want to exit,stop,convo
949,stop,stop,convo
950,i want to stop,stop,convo
951,stop it,stop,convo
952,i want to stop it,stop,convo
953,i want to turn  off,stop,convo
954,turn you off,stop,convo
955,i want to turn you off,stop,convo
956,don't talk,stop,convo
957,stop talking,stop,convo
958,i don't want to play  anymore,stop,convo
959,i don't want to play any game anymore,stop,convo
960,i don't want to play,stop,convo
961,i don't want to play any game,stop,convo
962,i don't like this game anymore,stop,convo
963,i'm not enjoying this,stop,convo
964,i'm not enjoying this game,stop,convo
965,this is boring,stop,convo
966,bye bye,stop,convo
967,goodbye,stop,convo
968,repeat,Repeat,convo
969,can you repeat that,Repeat,convo
970,could you repeat it,Repeat,convo
971,could you repeat the question,Repeat,convo
972,can you repeat the question,Repeat,convo
973,could you repeat that please,Repeat,convo
974,can you repeat that please,Repeat,convo
975,could you repeat it please,Repeat,convo
976,can you repeat it please,Repeat,convo
977,could you repeat the question please,Repeat,convo
978,can you repeat the question please,Repeat,convo
979,once more,Repeat,convo
980,once more please,Repeat,convo
981,say that again,Repeat,convo
982,say that again please,Repeat,convo
983,what was that,Repeat,convo
984,what are you saying,Repeat,convo
985,what,Repeat,convo
986,i want to play  more games,playOtherGame,convo
987,let's play  more games,playOtherGame,convo
988,play  more games,playOtherGame,convo
989,i want to open  more games,playOtherGame,convo
990,let's open  more games,playOtherGame,convo
991,open  more games,playOtherGame,convo
992,start  more games,playOtherGame,convo
993,i want to play some more games,playOtherGame,convo
994,let's play some more games,playOtherGame,convo
995,i want to open some more games,playOtherGame,convo
996,let's open some more games,playOtherGame,convo
997,open some more games,playOtherGame,convo
998,i want to start some more games,playOtherGame,convo
999,let's start some more games,playOtherGame,convo
1000,start some more games,playOtherGame,convo
1001,i want to play a few more games,playOtherGame,convo
1002,let's play a few more games,playOtherGame,convo
1003,play a few more games,playOtherGame,convo
1004,i want to open a few more games,playOtherGame,convo
1005,let's open a few more games,playOtherGame,convo
1006,open a few more games,playOtherGame,convo
1007,i want to start a few more games,playOtherGame,convo
1008,let's start a few more games,playOtherGame,convo
1009,let's play  other games,playOtherGame,convo
1010,i want to open  other games,playOtherGame,convo
1011,let's open  other games,playOtherGame,convo
1012,open  other games,playOtherGame,convo
1013,i want to start  other games,playOtherGame,convo
1014,let's start  other games,playOtherGame,convo
1015,start  other games,playOtherGame,convo
1016,i want to play some other games,playOtherGame,convo
1017,let's play some other games,playOtherGame,convo
1018,play some other games,playOtherGame,convo
1019,i want to open some other games,playOtherGame,convo
1020,let's open some other games,playOtherGame,convo
1021,i want to start some other games,playOtherGame,convo
1022,let's start some other games,playOtherGame,convo
1023,start some other games,playOtherGame,convo
1024,i want to play a few other games,playOtherGame,convo
1025,let's play a few other games,playOtherGame,convo
1026,play a few other games,playOtherGame,convo
1027,i want to open a few other games,playOtherGame,convo
1028,let's open a few other games,playOtherGame,convo
1029,open a few other games,playOtherGame,convo
1030,i want to start a few other games,playOtherGame,convo
1031,let's play another  game,playOtherGame,convo
1032,open another  game,playOtherGame,convo
1033,i want to start another  game,playOtherGame,convo
1034,let's start another  game,playOtherGame,convo
1035,start another  game,playOtherGame,convo
1036,play a different  game,playOtherGame,convo
1037,i want to open a different  game,playOtherGame,convo
1038,let's open a different  game,playOtherGame,convo
1039,open a different  game,playOtherGame,convo
1040,i want to start a different  game,playOtherGame,convo
1041,let's start a different  game,playOtherGame,convo
1042,start a different  game,playOtherGame,convo
1043,i want to play one more  game,playOtherGame,convo
1044,play one more  game,playOtherGame,convo
1045,i want to open one more  game,playOtherGame,convo
1046,let's open one more  game,playOtherGame,convo
1047,open one more  game,playOtherGame,convo
1048,i want to start one more  game,playOtherGame,convo
1049,let's start one more  game,playOtherGame,convo
1050,start one more  game,playOtherGame,convo
1051,let's play another memory game,playOtherGame,convo
1052,play another memory game,playOtherGame,convo
1053,i want to open another memory game,playOtherGame,convo
1054,open another memory game,playOtherGame,convo
1055,let's start another memory game,playOtherGame,convo
1056,start another memory game,playOtherGame,convo
1057,let's play a different memory game,playOtherGame,convo
1058,play a different memory game,playOtherGame,convo
1059,i want to open a different memory game,playOtherGame,convo
1060,let's open a different memory game,playOtherGame,convo
1061,open a different memory game,playOtherGame,convo
1062,i want to start a different memory game,playOtherGame,convo
1063,start a different memory game,playOtherGame,convo
1064,let's open one more memory game,playOtherGame,convo
1065,open one more memory game,playOtherGame,convo
1066,i want to start one more memory game,playOtherGame,convo
1067,let's start one more memory game,playOtherGame,convo
1068,i don't want to end  yet,playOtherGame,convo
1069,i don't want to turn you off  yet,playOtherGame,convo
1070,i don't want to end just yet,playOtherGame,convo
1071,don't turn off  yet,playOtherGame,convo
1072,no don't turn off  yet,playOtherGame,convo
1073,don't turn off just yet,playOtherGame,convo
1074,please don't turn off just yet,playOtherGame,convo
1075,no don't turn off just yet,playOtherGame,convo
1076,i don't want to play this game,playOtherGame,convo
1077,i don't wanna play this game,playOtherGame,convo
1078,i don't like this game,playOtherGame,convo
1079,this game really sucks,playOtherGame,convo
1080,stop and shut up,totalStop,convo
1081,wait,wait,convo
1082,wait a second,wait,convo
1083,wait a while,wait,convo
1084,wait  please,wait,convo
1085,wait a minute please,wait,convo
1086,wait a while please,wait,convo
1087,one moment,wait,convo
1088,one moment please,wait,convo
1089,which  games can i play,listOfGames,convo
1090,what  games can i play,listOfGames,convo
1091,which other games can i play,listOfGames,convo
1092,what other games can i play,listOfGames,convo
1093,which  game can i play,listOfGames,convo
1094,which other game can i play,listOfGames,convo
1095,what other game can i play,listOfGames,convo
1096,which  games can we play,listOfGames,convo
1097,what  games can we play,listOfGames,convo
1098,which other games can we play,listOfGames,convo
1099,what other games can we play,listOfGames,convo
1100,which  game can we play,listOfGames,convo
1101,what  game can we play,listOfGames,convo
1102,which other game can we play,listOfGames,convo
1103,what else can we play,listOfGames,convo
1104,what can we play,listOfGames,convo
1105,which  games can you play,listOfGames,convo
1106,which other games can you play,listOfGames,convo
1107,what other games can you play,listOfGames,convo
1108,which  game can you play,listOfGames,convo
1109,what  game can you play,listOfGames,convo
1110,what else can you play,listOfGames,convo
1111,which  games do you have,listOfGames,convo
1112,what  games do you have,listOfGames,convo
1113,which other games do you have,listOfGames,convo
1114,what other games do you have,listOfGames,convo
1115,which  game do you have,listOfGames,convo
1116,what  game do you have,listOfGames,convo
1117,which other game do you have,listOfGames,convo
1118,what other game do you have,listOfGames,convo
1119,what else do you have,listOfGames,convo
1120,what do you have,listOfGames,convo
1121,which  games do you know,listOfGames,convo
1122,what  games do you know,listOfGames,convo
1123,what other games do you know,listOfGames,convo
1124,which  game do you know,listOfGames,convo
1125,what  game do you know,listOfGames,convo
1126,what other game do you know,listOfGames,convo
1127,what else do you know,listOfGames,convo
1128,which  games is available,listOfGames,convo
1129,what other games is available,listOfGames,convo
1130,what  game is available,listOfGames,convo
1131,which other game is available,listOfGames,convo
1132,which  games are available,listOfGames,convo
1133,what  games are available,listOfGames,convo
1134,which other games are available,listOfGames,convo
1135,what other games are available,listOfGames,convo
1136,which  game are available,listOfGames,convo
1137,what  game are available,listOfGames,convo
1138,which other game are available,listOfGames,convo
1139,how many  games have we played,gamesCounter,convo
1140,how many memory games have we played,gamesCounter,convo
1141,how many memory games have i played,gamesCounter,convo
1142,how many memory games have we played so far,gamesCounter,convo
1143,how many  games have i played so far,gamesCounter,convo
1144,how many memory games have i played so far,gamesCounter,convo
1145,how many  games have we played in this session,gamesCounter,convo
1146,how many memory games have we played in this session,gamesCounter,convo
1147,how many memory games have i played in this session,gamesCounter,convo
1148,would you speak louder,volumeUp,convo
1149,could  speak louder,volumeUp,convo
1150,will  speak louder,volumeUp,convo
1151,would  speak louder,volumeUp,convo
1152,speak louder,volumeUp,convo
1153,could you talk louder,volumeUp,convo
1154,can you talk louder,volumeUp,convo
1155,will you talk louder,volumeUp,convo
1156,would you talk louder,volumeUp,convo
1157,could  talk louder,volumeUp,convo
1158,can  talk louder,volumeUp,convo
1159,will  talk louder,volumeUp,convo
1160,would  talk louder,volumeUp,convo
1161,talk louder,volumeUp,convo
1162,could you speak more loud,volumeUp,convo
1163,would you speak more loud,volumeUp,convo
1164,you speak more loud,volumeUp,convo
1165,could  speak more loud,volumeUp,convo
1166,can  speak more loud,volumeUp,convo
1167,would  speak more loud,volumeUp,convo
1168,speak more loud,volumeUp,convo
1169,could you talk more loud,volumeUp,convo
1170,can you talk more loud,volumeUp,convo
1171,would you talk more loud,volumeUp,convo
1172,could  talk more loud,volumeUp,convo
1173,can  talk more loud,volumeUp,convo
1174,will  talk more loud,volumeUp,convo
1175,would  talk more loud,volumeUp,convo
1176,talk more loud,volumeUp,convo
1177,could you speak higher,volumeUp,convo
1178,can you speak higher,volumeUp,convo
1179,will you speak higher,volumeUp,convo
1180,can  speak higher,volumeUp,convo
1181,will  speak higher,volumeUp,convo
1182,speak higher,volumeUp,convo
1183,can you talk higher,volumeUp,convo
1184,will you talk higher,volumeUp,convo
1185,would you talk higher,volumeUp,convo
1186,you talk higher,volumeUp,convo
1187,could  talk higher,volumeUp,convo
1188,can  talk higher,volumeUp,convo
1189,would  talk higher,volumeUp,convo
1190,talk higher,volumeUp,convo
1191,i can't hear you very well,volumeUp,convo
1192,i can't hear you  well,volumeUp,convo
1193,i can't hear you very,volumeUp,convo
1194,you are talking too quiet,volumeUp,convo
1195,you are  too quiet,volumeUp,convo
1196,you are speaking too low,volumeUp,convo
1197,you are talking too low,volumeUp,convo
1198,you are  too low,volumeUp,convo
1199,you are speaking too quietly,volumeUp,convo
1200,you are talking too quietly,volumeUp,convo
1201,you are  too quietly,volumeUp,convo
1202,volume up,volumeUp,convo
1203,could you speak quiet,volumeDown,convo
1204,can you speak quiet,volumeDown,convo
1205,will you speak quiet,volumeDown,convo
1206,would you speak quiet,volumeDown,convo
1207,could  speak quiet,volumeDown,convo
1208,can  speak quiet,volumeDown,convo
1209,would  speak quiet,volumeDown,convo
1210,speak quiet,volumeDown,convo
1211,could you talk quiet,volumeDown,convo
1212,can you talk quiet,volumeDown,convo
1213,will you talk quiet,volumeDown,convo
1214,you talk quiet,volumeDown,convo
1215,can  talk quiet,volumeDown,convo
1216,will  talk quiet,volumeDown,convo
1217,talk quiet,volumeDown,convo
1218,could you speak more quiet,volumeDown,convo
1219,can you speak more quiet,volumeDown,convo
1220,will you speak more quiet,volumeDown,convo
1221,would you speak more quiet,volumeDown,convo
1222,you speak more quiet,volumeDown,convo
1223,could  speak more quiet,volumeDown,convo
1224,can  speak more quiet,volumeDown,convo
1225,speak more quiet,volumeDown,convo
1226,could you talk more quiet,volumeDown,convo
1227,can you talk more quiet,volumeDown,convo
1228,would you talk more quiet,volumeDown,convo
1229,could  talk more quiet,volumeDown,convo
1230,can  talk more quiet,volumeDown,convo
1231,will  talk more quiet,volumeDown,convo
1232,talk more quiet,volumeDown,convo
1233,can you speak less loud,volumeDown,convo
1234,will you speak less loud,volumeDown,convo
1235,you speak less loud,volumeDown,convo
1236,could  speak less loud,volumeDown,convo
1237,can  speak less loud,volumeDown,convo
1238,will  speak less loud,volumeDown,convo
1239,would  speak less loud,volumeDown,convo
1240,speak less loud,volumeDown,convo
1241,can you talk less loud,volumeDown,convo
1242,will you talk less loud,volumeDown,convo
1243,could  talk less loud,volumeDown,convo
1244,can  talk less loud,volumeDown,convo
1245,will  talk less loud,volumeDown,convo
1246,would  talk less loud,volumeDown,convo
1247,talk less loud,volumeDown,convo
1248,could you speak quieter,volumeDown,convo
1249,can you speak quieter,volumeDown,convo
1250,will you speak quieter,volumeDown,convo
1251,you speak quieter,volumeDown,convo
1252,could  speak quieter,volumeDown,convo
1253,will  speak quieter,volumeDown,convo
1254,speak quieter,volumeDown,convo
1255,can you talk quieter,volumeDown,convo
1256,will you talk quieter,volumeDown,convo
1257,would you talk quieter,volumeDown,convo
1258,you talk quieter,volumeDown,convo
1259,could  talk quieter,volumeDown,convo
1260,can  talk quieter,volumeDown,convo
1261,would  talk quieter,volumeDown,convo
1262,talk quieter,volumeDown,convo
1263,could you speak silently,volumeDown,convo
1264,can you speak silently,volumeDown,convo
1265,would you speak silently,volumeDown,convo
1266,you speak silently,volumeDown,convo
1267,will  speak silently,volumeDown,convo
1268,would  speak silently,volumeDown,convo
1269,could you talk silently,volumeDown,convo
1270,can you talk silently,volumeDown,convo
1271,will you talk silently,volumeDown,convo
1272,you talk silently,volumeDown,convo
1273,could  talk silently,volumeDown,convo
1274,can  talk silently,volumeDown,convo
1275,would  talk silently,volumeDown,convo
1276,talk silently,volumeDown,convo
1277,could you speak down,volumeDown,convo
1278,can you speak down,volumeDown,convo
1279,would you speak down,volumeDown,convo
1280,you speak down,volumeDown,convo
1281,could  speak down,volumeDown,convo
1282,can  speak down,volumeDown,convo
1283,will  speak down,volumeDown,convo
1284,would  speak down,volumeDown,convo
1285,speak down,volumeDown,convo
1286,could you talk down,volumeDown,convo
1287,can you talk down,volumeDown,convo
1288,will you talk down,volumeDown,convo
1289,would you talk down,volumeDown,convo
1290,could  talk down,volumeDown,convo
1291,can  talk down,volumeDown,convo
1292,keep it down please,volumeDown,convo
1293,you're  too loud,volumeDown,convo
1294,you're speaking too loud,volumeDown,convo
1295,volume down,volumeDown,convo
1296,how many times have we talked already,timesPlayed,convo
1297,how many times have we chatted already,timesPlayed,convo
1298,how many times have we spoken already,timesPlayed,convo
1299,how many times have i launched you already,timesPlayed,convo
1300,how many times have i started you already,timesPlayed,convo
1301,how many times have i talked to you already,timesPlayed,convo
1302,how many times have we talked so far,timesPlayed,convo
1303,how many times have we spoken so far,timesPlayed,convo
1304,how many times have i opened you so far,timesPlayed,convo
1305,how many times have we talked,timesPlayed,convo
1306,how many times have we chatted,timesPlayed,convo
1307,how many times have we spoken,timesPlayed,convo
1308,how many times have i launched you,timesPlayed,convo
1309,how many times have i started you,timesPlayed,convo
1310,how many times have i opened you,timesPlayed,convo
1311,how many times have i talked to you,timesPlayed,convo
1312,are you still there,stillThere,convo
1313,are you sleeping,stillThere,convo
1314,are you asleep,stillThere,convo
1315,have you turned off,stillThere,convo
1316,have you stopped,stillThere,convo
1317,did you stop,stillThere,convo
1318,did you quit,stillThere,convo
