,text,subject,intent_ovr
6889,Factbox: Contenders for key jobs in Trump's administration,politicsNews,facts
6890,Ex-U.S. attorney from California top candidate to head SEC: CNBC,politicsNews,facts
6891,Trump's Boeing comments reflect bid to save taxpayer money: aides,politicsNews,facts
6892,"After hesitation, Carson accepts Trump's offer to head U.S. housing department",politicsNews,facts
6893,"Factbox: Contenders, picks for key jobs in Trump's administration",politicsNews,facts
6894,"California prepares to fight Trump on immigration, other issues",politicsNews,facts
6895,China hopes U.S. will not allow transit by Taiwan president,politicsNews,facts
6896,"Defying Trump, Green Party pursues recounts in three states",politicsNews,facts
6897,U.S. seeks to reassure Beijing after Trump call with Taiwan leader,politicsNews,facts
6898,"Trump, ex-Vice President Gore meet to talk climate policy",politicsNews,facts
6899,Factbox: Trump fills top jobs for his administration,politicsNews,facts
6900,Trump advisors aim to privatize oil-rich Indian reservations,politicsNews,facts
6901,Trump supports completion of Dakota Access Pipeline,politicsNews,facts
6902,Top U.S. Marine's wish-list for Trump goes well beyond troop hikes,politicsNews,facts
6903,Trump fires opening salvo in risky test of wills with Beijing,politicsNews,facts
6904,Kissinger says impressed by China's 'calm reaction' to Trump's Taiwan call,politicsNews,facts
6905,"Carson to HUD: The agency that oversees public housing, federal mortgage programs",politicsNews,facts
6906,U.S. top court weighs race challenges to legislative districts,politicsNews,facts
6907,New House labor committee chair questions need for unions,politicsNews,facts
6908,Trump meets former Vice President Gore in New York: Gore,politicsNews,facts
6909,North Carolina governor concedes election to Democratic opponent,politicsNews,facts
6910,U.S. court puts Obamacare case on hold until Trump takes office,politicsNews,facts
6911,Trump clear on China's stance on call with Taiwan's Tsai: ministry,politicsNews,facts
6912,U.S. reaffirms 'One China' policy to Beijing after Trump: White House,politicsNews,facts
6913,"Factbox: Trump to meet this week with U.S. lawmakers, Exxon CEO",politicsNews,facts
6914,Trump has broad power to implement immigration policies: legal experts,politicsNews,facts
6915,Factbox: What it will take for Trump to meet his immigration goals,politicsNews,facts
6916,Hawaii grandma's plea launches women's march in Washington,politicsNews,facts
6917,Who collects costs for Trump's Taiwan call?,politicsNews,facts
6918,China newspapers say call with Taiwan's Tsai shows Trump's inexperience,politicsNews,facts
6919,U.S. defense elite rally behind Trump's unusual Pentagon pick,politicsNews,facts
6920,Kerry says would be valuable for Trump to seek advice before calls,politicsNews,facts
6921,"Putin says Trump clever, will understand new responsibilities",politicsNews,facts
6922,Trump to meet with retired U.S. Admiral Stavridis on Thursday,politicsNews,facts
6923,"Trump to intervene to keep U.S. jobs at home on 'day-by-day' basis, Pence says",politicsNews,facts
6924,Former astronaut Buzz Aldrin to stay in New Zealand until lungs clear,politicsNews,facts
6925,"U.S. Navy, shipbuilders ready for Trump's expansion plan",politicsNews,facts
6926,Trump conversation with Taiwan president a 'courtesy call': Pence,politicsNews,facts
6927,Iran vows 'firm response' unless Obama stops sanctions renewal,politicsNews,facts
6928,Green Party's Stein to pursue Pennsylvania recount petition in federal court,politicsNews,facts
6929,Trump attends 'Villains and Heroes' costume party dressed as...himself,politicsNews,facts
6930,Australian PM says he's confident Trump won't pull out of U.S. refugee deal,politicsNews,facts
6931,China lodges protest after Trump call with Taiwan president,politicsNews,facts
6932,AmCham in China says new U.S. administration needs to get up to speed quickly,politicsNews,facts
6933,"Trump targets another company, draws Sanders' criticism",politicsNews,facts
6934,China says Trump call with Taiwan president won't change island's status,politicsNews,facts
6935,Singapore minister urges U.S. focus on strategic interest in Asia,politicsNews,facts
6936,China lodges protest over Trump call with Taiwan president,politicsNews,facts
6937,"Duterte says felt rapport with Trump, assures U.S.-Philippines ties intact",politicsNews,facts
6938,Taiwan calls on China to view Trump call 'calmly',politicsNews,facts
6939,"House adopts massive defense bill, sees changes under Trump",politicsNews,facts
6940,China labels Trump call 'petty action' by Taiwan: Phoenix TV,politicsNews,facts
6941,White House: no change to 'one China' policy after Trump call with Taiwan,politicsNews,facts
6942,"Taiwan presidential office says Trump, Tsai exchanged views on Taiwan-U.S. relations",politicsNews,facts
6943,Trump says Taiwan president 'called me' to offer congratulations,politicsNews,facts
6944,Trump is 'well aware' of what U.S. policy has been on Taiwan: spokeswoman,politicsNews,facts
6945,Taiwan says contact with Trump agreed ahead of time-presidential office,politicsNews,facts
6946,Trump moves to quickly fill his top Cabinet ranks,politicsNews,facts
6947,"Trump speaks with leaders of Afghanistan, Singapore",politicsNews,facts
6948,Trump supporters try to block vote recounts in three states,politicsNews,facts
6949,"Mattis likely to become defense secretary, despite Democrats' concerns",politicsNews,facts
6950,Obama expresses confidence in incoming U.N. chief Guterres,politicsNews,facts
6951,"Factbox: Contenders, picks for key jobs in Trump's administration",politicsNews,facts
6952,U.S. spy agencies fight Congress over plan for probe of covert Russian influence campaign,politicsNews,facts
6953,Trump creates business advisory council stacked with CEOs,politicsNews,facts
6954,"On final trip, Carter looks to reassure Asia allies",politicsNews,facts
6955,Obama expected to sign Iran Sanctions Act extension into law: White House,politicsNews,facts
6956,Trump's dilemma: slower job growth or rising rates and inflation?,politicsNews,facts
6957,Trump to nominate retired General Mattis for Pentagon,politicsNews,facts
6958,"Pence: Trump will focus fast on tax, healthcare, immigration: WSJ",politicsNews,facts
6959,Trump team considering new non-nuclear sanctions on Iran: FT,politicsNews,facts
6960,Trump fills top jobs for his administration,politicsNews,facts
6961,"Contenders, picks for key jobs in Trump's administration",politicsNews,facts
6962,Porous Texas border fence foreshadows challenges for Trump's wall,politicsNews,facts
6963,Trump takes populist message to U.S. heartland in 'thank you' tour,politicsNews,facts
6964,"Obama, trying to protect legacy, unlikely to act on Mideast peace",politicsNews,facts
6965,"Trump, Norwegian PM Solberg speak by phone: Trump statement",politicsNews,facts
6966,Trump considering Senator Heitkamp of North Dakota for Cabinet: source,politicsNews,facts
6967,Trump considering Goldman Sachs COO Cohn for energy secretary: Fox Business Network,politicsNews,facts
6968,Trump considering Democratic Senator Manchin for energy secretary: Politico,politicsNews,facts
6969,Trump supports completion of Dakota Access Pipeline,politicsNews,facts
6970,FBI to gain expanded hacking powers as Senate effort to block fails,politicsNews,facts
6971,Senator warns against simultaneous overhaul of Medicare and Obamacare,politicsNews,facts
6972,California governor taps U.S. Representative Becerra as attorney general,politicsNews,facts
6973,Fed may face unnerving shake-up under Trump administration,politicsNews,facts
6974,Extension of Iran Sanctions Act passes U.S. Congress,politicsNews,facts
6975,"Mexico's Slim: If Trump succeeds, so does Mexico",politicsNews,facts
6976,"Trump packs transition team with Washington veterans, review shows",politicsNews,facts
6977,New Jersey's Christie mulls run to lead Republican Party: report,politicsNews,facts
6978,Soyinka shreds U.S. greencard in anger over Trump victory,politicsNews,facts
6979,House tax chief urges business to avoid fight over tax breaks,politicsNews,facts
6980,Separation anxiety: Trump’s management style poses challenges in Oval Office,politicsNews,facts
6981,"Trump offers to help Pakistan, calls PM Sharif a 'terrific guy': Islamabad",politicsNews,facts
6982,Trump says he will back away from business to focus on White House,politicsNews,facts
6983,Senior senators want to amend Saudi September 11 law,politicsNews,facts
6984,U.S. ethics office tweets sarcasm at Trump on business conflicts,politicsNews,facts
6985,Trump faces challenges in separating from business: legal experts,politicsNews,facts
6986,Trump to keep Manhattan federal prosecutor Bharara in post,politicsNews,facts
6987,Just one Trump transition aide for U.S. spy agencies: officials,politicsNews,facts
6988,Republicans aim to coax Trump toward House trade tax plan,politicsNews,facts
6989,Goldman's Cohn eyed for top Trump budget post: transition official,politicsNews,facts
6990,Pelosi re-elected to House Democratic leadership post,politicsNews,facts
6991,Supreme Court divided in immigration detention dispute,politicsNews,facts
6992,Obama moves to lock in vehicle greenhouse gas rules,politicsNews,facts
6993,"Trump's Treasury pick targets taxes, trade reforms: media",politicsNews,facts
6994,"Factbox: Contenders, picks for key jobs in Trump's administration",politicsNews,facts
6995,Trump considering Palin to lead Veterans Affairs: ABC,politicsNews,facts
6996,"Factbox: Trump to meet with Linda McMahon, Gen. John Kelly, U.S. prosecutor",politicsNews,facts
6997,"Albright, Hadley urge U.S. to weigh using more force in Syria",politicsNews,facts
6998,"Romney, potential U.S. secretary of state, hails Trump after dinner",politicsNews,facts
6999,Factbox: Trump fills top jobs for his administration,politicsNews,facts
7000,China says it wants smooth military ties with Trump,politicsNews,facts
7001,Judge lets Wisconsin officials decide how to perform presidential vote recount,politicsNews,facts
7002,"Trump picks loyalists for economic posts, Obamacare critic for cabinet",politicsNews,facts
7003,CIA's Brennan says tearing up Iran deal would be 'folly',politicsNews,facts
7004,Federal judges order North Carolina to redraw legislative districts,politicsNews,facts
7005,Trump expected to name former Goldman banker Mnuchin for Treasury: source,politicsNews,facts
7006,Health industry breathes easier as post-Obamacare path stabilizes,politicsNews,facts
7007,Trump flag-burning tweet leads activists to burn some flags in New York,politicsNews,facts
7008,Factbox: Trump fills top jobs for his administration,politicsNews,facts
7009,Compromise reached on massive U.S. defense bill,politicsNews,facts
7010,Trump expected to pick investor Wilbur Ross as U.S. commerce secretary,politicsNews,facts
7011,"Factbox: Contenders, picks for key jobs in Trump's administration",politicsNews,facts
7012,No formal U.S. delegation to Castro memorial: White House,politicsNews,facts
7013,Representative Barletta says he discussed becoming Trump's labor secretary,politicsNews,facts
7014,Pentagon warns against impact of extending temporary U.S. funding bill,politicsNews,facts
7015,Senate leader hopes to have several Trump nominees confirmed on January 20,politicsNews,facts
7016,Trump to nominate Elaine Chao for transportation post: source,politicsNews,facts
7017,"Factbox: Trump to meet with Cohn, Romney, Corker, Giuliani, others",politicsNews,facts
7018,"After perceived snubs, UK's May calls Trump to strengthen ties",politicsNews,facts
7019,Senate to vote on Iran sanctions renewal this week,politicsNews,facts
7020,Factbox: Trump announces picks to fill two key healthcare posts,politicsNews,facts
7021,Trump to announce transportation secretary pick: spokesman,politicsNews,facts
7022,Trump vows to end U.S.-Cuba 'deal' unless Havana makes better one,politicsNews,facts
7023,Trump to pick Seema Verma for Centers for Medicare and Medicaid Services: transition official,politicsNews,facts
7024,"Factbox: Trump to meet with retired General Petraeus, Mitt Romney",politicsNews,facts
7025,"U.S. companies hope Trump will stick to business roots, back Cuba ties",politicsNews,facts
7026,Trump has chosen Representative Price for health secretary: New York Times,politicsNews,facts
7027,Trump considering Representative Barletta for transportation secretary: Politico,politicsNews,facts
7028,Trump close to naming congressman Price as health secretary: Atlanta Journal-Constitution,politicsNews,facts
7029,Wide-ranging U.S. health bill expected to sail through House vote,politicsNews,facts
7030,Trump adds antitrust expert to Justice transition team,politicsNews,facts
7031,Vote recount effort races forward despite Trump team rejection,politicsNews,facts
7032,U.S. shifts money away from Philippines police drug efforts,politicsNews,facts
7033,White House: Castro's death will not likely slow U.S. efforts toward Cuba,politicsNews,facts
7034,White House: No evidence has emerged about U.S. voting fraud,politicsNews,facts
7035,White House says Obama spoke to Trump by phone on Saturday,politicsNews,facts
7036,Green Party's Stein files in Pennsylvania for recount in presidential vote: Politico,politicsNews,facts
7037,"Trump to meet with Petraeus, Corker, Romney this week: transition team",politicsNews,facts
7038,"Factbox: Contenders, picks for key jobs in Trump's administration",politicsNews,facts
7039,"Trump, without evidence, says illegal voting cost him U.S. popular vote",politicsNews,facts
7040,Trump considers retired General Petraeus as top diplomat: Bloomberg,politicsNews,facts
7041,Trump faces dilemma as U.S. oil reels from record biofuels targets,politicsNews,facts
7042,"Solar, wind industries hope years courting Republicans pays off under Trump",politicsNews,facts
7043,Cubans fret over life after Castro with Trump next door,politicsNews,facts
7044,Trump adviser warns him not to pick Romney for Secretary of State,politicsNews,facts
7045,Trump says hopes for Cuban 'freedom' after Castro death,politicsNews,facts
7046,Sanders to Trump: use defense contracts as leverage for Carrier jobs,politicsNews,facts
7047,"Clinton team to take part in U.S. state vote recount, Trump blasts effort",politicsNews,facts
7048,Trump calls Green Party vote recount request a 'scam',politicsNews,facts
7049,Vice President-elect Pence says 'new hope dawns' for Cuba,politicsNews,facts
7050,U.S. to continue supporting engagement with Cuban people: Kerry,politicsNews,facts
7051,House Speaker Ryan says work remains to secure freedom in Cuba,politicsNews,facts
7052,Trump says he will do all he can to help Cuban people,politicsNews,facts
7053,Castro's death an opportunity for Cuba: McConnell,politicsNews,facts
7054,Obama says history will judge Castro's impact on world,politicsNews,facts
7055,"Trump turns to Washington lawyer to navigate legal, ethics issues",politicsNews,facts
7056,Wisconsin agrees to statewide recount in presidential race,politicsNews,facts
7057,Green Party files for vote recount in Wisconsin: state election commission,politicsNews,facts
7058,"Mexicans very negative on Trump, but back talks with him: poll",politicsNews,facts
7059,Trump names Don McGahn as White House Counsel - transition official,politicsNews,facts
7060,"Blue-collar Democrats to party: It's still the economy, stupid",politicsNews,facts
7061,"Trump speaks with leaders of five nations, his team says",politicsNews,facts
7062,"Contenders, picks for key jobs in Trump's administration",politicsNews,facts
7063,"Trump, Pence to meet with former BB&T CEO Allison, others on Monday",politicsNews,facts
7064,Trump's shifting positions since U.S. election win,politicsNews,facts
7065,"More company climate votes ahead, as Trump may loosen energy rules",politicsNews,facts
7066,Trump will pursue 'regional hegemony' in South China Sea: Chinese academics,politicsNews,facts
7067,Trump keeps politics on his Thanksgiving menu,politicsNews,facts
7068,U.N. envoy sees continued U.S. work to end Syria war,politicsNews,facts
7069,"In India's Punjab, Haley relatives cheer appointment as UN envoy",politicsNews,facts
7070,Green Party raises $3.5 million for presidential vote recounts,politicsNews,facts
7071,Germany's Seehofer invites Trump to Bavaria: source,politicsNews,facts
7072,Wilbur Ross seen as Trump pick for Commerce Department: WSJ,politicsNews,facts
7073,"Business booms at Trump Tower, nearby retailers hit by security and crowds",politicsNews,facts
7074,Haley lends Trump team diversity but little diplomatic heft,politicsNews,facts
7075,"Trump names Haley, a foreign policy novice, as envoy to U.N.",politicsNews,facts
7076,Trump taps Michigan Republican DeVos for education secretary: reports,politicsNews,facts
7077,Polling calls to U.S. Muslims raise surveillance fears,politicsNews,facts
7078,"Trump defeated Clinton by 10,704 votes in Michigan: unofficial tally",politicsNews,facts
7079,Trump has not offered Carson U.S. housing post: spokesman,politicsNews,facts
7080,"Factbox: Trump picks women for U.N. ambassador, education secretary",politicsNews,facts
7081,"Contenders, picks for key jobs in Trump's administration",politicsNews,facts
7082,Elton John denies he will play at Trump inauguration,politicsNews,facts
7083,Big banks' relationship with Dodd-Frank: it's complicated,politicsNews,facts
7084,South Carolina Governor Haley accepts Trump's U.N. offer: NBC,politicsNews,facts
7085,Mexican cement maker ready to help Trump build border wall,politicsNews,facts
7086,"Carson talks with Trump team, says he can make 'inner cities great'",politicsNews,facts
7087,"Greek PM Tsipras, Trump talk about cooperation, security",politicsNews,facts
7088,Iran warns of retaliation if U.S. breaches nuclear deal,politicsNews,facts
7089,Judge blocks Obama rule extending overtime pay to 4.2 million U.S. workers,politicsNews,facts
7090,Democrats search for answers to stem a spreading Republican tide,politicsNews,facts
7091,Illinois fix to unpaid bills may end up as financial time bomb,politicsNews,facts
7092,Factbox: The companies making money from Illinois’ unpaid bills,politicsNews,facts
7093,"Trump won with lowest minority vote in decades, fueling divisions",politicsNews,facts
7094,Trump keeping 'open mind' on pulling out of climate accord,politicsNews,facts
7095,Ex-CIA boss Petraeus indicates would serve Trump if asked,politicsNews,facts
7096,"Ben Carson offered HUD post, will consider it: Carson spokesman",politicsNews,facts
7097,Conservatives bristle as Trump backs off Clinton prosecution,politicsNews,facts
7098,Ex-congressman Ford being considered for U.S. transportation secretary: Politico,politicsNews,facts
7099,"Willing to oppose Trump, some Senate Republicans gain leverage",politicsNews,facts
7100,Factbox: Contenders for key jobs in Trump's administration,politicsNews,facts
7101,Factbox: Summary of Trump's comments in New York Times interview,politicsNews,facts
7102,North Carolina governor requests vote recount in tight race,politicsNews,facts
7103,"Trump sinks Asia trade pact, opening the way for China to lead",politicsNews,facts
7104,Chinese official optimistic about US trade amid Trump uncertainty,politicsNews,facts
7105,"Italy to push Iran trade ties, undaunted by Trump",politicsNews,facts
7106,Obama's not-so-secret admirer: Donald Trump,politicsNews,facts
7107,Peru proposes talks to save TPP after Trump firms up opposition,politicsNews,facts
7108,Trump’s foundation says it violated 'self-dealing' ban: IRS forms,politicsNews,facts
7109,Trump condemns alt-right gathering in Washington: New York Times,politicsNews,facts
7110,"Mexico sees trade deals in TPP leftovers, flags China opportunity",politicsNews,facts
7111,Trump says keeping 'open mind' on climate change: New York Times,politicsNews,facts
7112,Trump lukewarm on opening Clinton probes: New York Times,politicsNews,facts
7113,"Chile's foreign minister: TPP not dead, despite Trump comments",politicsNews,facts
7114,Trump's daughter Ivanka joined call with Argentina's Macri,politicsNews,facts
7115,Britain to Trump: 'No vacancy' for Farage as ambassador,politicsNews,facts
7116,Should I stay or should I go? U.S. civil servants gird for Trump,politicsNews,facts
7117,Britain's Johnson: We will stress importance of free trade and NATO to Trump,politicsNews,facts
7118,"'We appoint our ambassadors', says UK PM's spokesman",politicsNews,facts
7119,UK's Mr Brexit says no vacancy for ambassador to United States,politicsNews,facts
7120,U.S. Holocaust museum alarmed over 'hateful speech' by white nationalists,politicsNews,facts
7121,Court says Republican gerrymandering in Wisconsin was unconstitutional,politicsNews,facts
7122,UKIP's Farage: I can help UK build ties with Trump,politicsNews,facts
7123,Trump says Brexiteer Farage would be a good British ambassador to U.S.,politicsNews,facts
7124,"Trump's NAFTA revamp would require concessions, may borrow from TPP",politicsNews,facts
7125,"Trump foreign policies could hurt, help his business empire",politicsNews,facts
7126,"Trump outlines plans for first day in office, meets with Cabinet hopefuls",politicsNews,facts
7127,Trump says will quit Pacific trade deal on day one of presidency,politicsNews,facts
7128,Trump picks regulation opponents to lead FCC transition,politicsNews,facts
7129,"In weekend of deliberation, Mattis favored for Trump Pentagon chief",politicsNews,facts
7130,"Trump's Interior Department shortlist vexes employees, green groups",politicsNews,facts
7131,Factbox: Contenders for key jobs in Trump's administration,politicsNews,facts
7132,Trump considering Dallas investor Ray Washburne for interior secretary: CNBC,politicsNews,facts
7133,"Tech worker visas face uncertain future under Trump, Sessions",politicsNews,facts
7134,Oklahoma Governor Fallin speaks to Trump about possible Interior Department job: spokesman,politicsNews,facts
7135,"Factbox: Trump to meet with Oklahoma governor, ex-Texas governor Perry, Hawaii Democrat Gabbard, others",politicsNews,facts
7136,Obama administration bars new oil exploration in Arctic waters,politicsNews,facts
7137,Gun shops eye busy Black Friday despite Hillary Clinton loss,politicsNews,facts
7138,Obama says urges a wait-and-see approach on Trump proposals,politicsNews,facts
7139,"Obama, Putin talk about Syria and Ukraine in quick summit meet",politicsNews,facts
7140,"Obama says Pelosi a strong leader, showing support for re-election bid",politicsNews,facts
7141,Obama declines comment on reports of possible removal of NSA chief,politicsNews,facts
7142,Obama says not worried about being last Democratic U.S. leader for a while,politicsNews,facts
7143,Trudeau looks forward to welcoming Trump to Canada,politicsNews,facts
7144,"New York's Cuomo unveils rights initiative, says election spawned 'social crisis'",politicsNews,facts
7145,Trump team promises to address ethics concerns on businesses,politicsNews,facts
7146,Pence not offended by comments to him at 'Hamilton' show,politicsNews,facts
7147,Trump to hold series of meetings as he assembles new administration,politicsNews,facts
7148,Romney under 'active consideration' for Secretary of State: Pence,politicsNews,facts
7149,Romney in mix with others for secretary of state: Trump adviser,politicsNews,facts
7150,Radio host Ingraham says she's being considered for White House post,politicsNews,facts
7151,Trump confirms he is considering Mattis for U.S. defense post,politicsNews,facts
7152,Queen to invite Trump to Britain for state visit: Sunday Times,politicsNews,facts
7153,"Obama tells Latin America and world: give Trump time, don't assume worst",politicsNews,facts
7154,"As he shapes Cabinet, Trump meets former rival Romney and retired Gen. Mattis",politicsNews,facts
7155,Senior U.S. officials recommend removal of NSA director: sources,politicsNews,facts
7156,Trump blasts 'Hamilton' cast as 'rude'; creator Miranda says he's 'proud',politicsNews,facts
7157,Contenders for key jobs in Trump administration,politicsNews,facts
7158,"Trump picks conservative loyalists for top security, law enforcement jobs",politicsNews,facts
7159,Trump defends decision to settle Trump University lawsuits,politicsNews,facts
7160,"Trump to meet Wilbur Ross, possible choice for commerce secretary",politicsNews,facts
7161,China state media warn Trump against renouncing free trade deals,politicsNews,facts
7162,Trump's national security adviser vows to tackle North Korea nuclear threat: Yonhap,politicsNews,facts
7163,Pro-business Sessions will not go easy on corporate crime: lawyers,politicsNews,facts
7164,"Claims of votes by the dead, felons cloud North Carolina governor race",politicsNews,facts
7165,"Trump's CIA pick supports domestic surveillance, opposes Iran deal",politicsNews,facts
7166,A surge in U.S. deportations could swamp an overtaxed system,politicsNews,facts
7167,Trump agrees to pay $25 million to settle Trump University lawsuits,politicsNews,facts
7168,"Factbox: Trump to meet with Huckabee, Romney, others this weekend",politicsNews,facts
7169,"Trump considering Petraeus, others for Pentagon chief: WSJ",politicsNews,facts
7170,NSA director Rogers is top candidate for DNI under Trump: WSJ,politicsNews,facts
7171,"With Trump victory, blunt U.S. general gets second chance",politicsNews,facts
7172,"Factbox: The nasty things Trump, Romney have said about each other",politicsNews,facts
7173,Most Americans back 'just the facts' news stories: Pew survey,politicsNews,facts
7174,Conservatives have concerns about Sessions as Trump's attorney general,politicsNews,facts
7175,"Obama, EU leaders agree to stick together, stay tough on Russia",politicsNews,facts
7176,'First line of defense': Democratic states vow to fight Trump in court,politicsNews,facts
7177,Top Senate Democrat cites civil rights concerns with Trump pick Sessions,politicsNews,facts
7178,"Factbox: Trump makes picks to fill security, legal posts",politicsNews,facts
7179,"Japan's PM Abe meets Trump, says confident can build trust",politicsNews,facts
7180,"Merkel: Didn't discuss sanctions on Russia over Syria with Obama, EU leaders",politicsNews,facts
7181,Can Trump make coal great again? At least some companies think so,politicsNews,facts
7182,Trump offers Sessions attorney general post: CBS News,politicsNews,facts
7183,Trump lawyers aim to delay fraud trial at hearing,politicsNews,facts
7184,Trump may discuss secretary of state job with critic Romney: source,politicsNews,facts
7185,Trump offers national security adviser post to Michael Flynn: senior Trump official,politicsNews,facts
7186,Contenders for key jobs in Trump administration,politicsNews,facts
7187,Ford tells Trump no Lincoln SUV production going to Mexico,politicsNews,facts
7188,Case on Trump worker contract raises conflict of interest question,politicsNews,facts
7189,Japan PM Abe: Confident of building relationship of trust with Trump,politicsNews,facts
7190,Trump has offered national security adviser job to Flynn: AP,politicsNews,facts
7191,Congress could undo Obama-era student loan relief,politicsNews,facts
7192,Trump team will receive first Pentagon briefing on Friday: Pentagon spokesman,politicsNews,facts
7193,Meeting between Trump and Japan's Abe has ended: Trump official,politicsNews,facts
7194,Ohio congressman Ryan challenges Pelosi for House Democratic leader,politicsNews,facts
7195,U.S. spy chief to resign as Trump takes office,politicsNews,facts
7196,Trump Treasury candidate's bank accused of discrimination,politicsNews,facts
7197,Some members of Trump team can begin agency briefings: White House,politicsNews,facts
7198,Trump considering Mitt Romney for secretary of state: NBC News,politicsNews,facts
7199,Arkansas attorney general says open to working in Trump administration,politicsNews,facts
7200,"Trump, Pence have spoken with nearly 30 foreign leaders - statement",politicsNews,facts
7201,Factbox: Short list of potential picks for Trump administration,politicsNews,facts
7202,Merkel silent on fourth term despite glowing words from Obama,politicsNews,facts
7203,Trump 'unbelievably impressed' with Sen. Sessions: statement,politicsNews,facts
7204,Obama says will continue to try to affect change in Syria,politicsNews,facts
7205,Obama says will come back to Germany for Oktoberfest,politicsNews,facts
7206,Merkel: I will announce decision on fourth term at right time,politicsNews,facts
7207,Obama says hopes Trump can stand up to Russia when needed,politicsNews,facts
7208,House Republicans pursue short-term government funding bill,politicsNews,facts
7209,U.S. Mideast intelligence analysts felt superiors distorted findings,politicsNews,facts
7210,Sanders to build base outside of Washington in new Democratic post,politicsNews,facts
7211,U.S. spy chief says expects Russia plans to expand presence in Syria base,politicsNews,facts
7212,U.S. spy chief declines to comment on whether Russia shared info with Americans from hacks,politicsNews,facts
7213,Confusion over Trump's first talks with foreign leader,politicsNews,facts
7214,Obama says would support Trump moves to improve U.S. healthcare,politicsNews,facts
7215,Clinton urges renewed 'fight for values',politicsNews,facts
7216,Kremlin 'awaits' signals from Trump's team to establish contacts,politicsNews,facts
7217,U.S. panel urges ban on China state firms buying U.S. companies,politicsNews,facts
7218,China's interference in Hong Kong reaching alarming levels: U.S. congressional panel,politicsNews,facts
7219,Key U.S. senator remains concerned over ChemChina-Syngenta deal,politicsNews,facts
7220,China sees THAAD deployment as 'weather vane' under Trump,politicsNews,facts
7221,Trump's golf buddy Norman pitches Australia to lead diplomatic line,politicsNews,facts
7222,"China, U.S. must avoid excessive mutual suspicion: Chinese envoy",politicsNews,facts
7223,"Schumer, McConnell elected top leaders in Senate",politicsNews,facts
7224,"Trump cyber security team, policy slow to take shape: officials",politicsNews,facts
7225,U.S. Senate leader says Iran sanctions renewal will pass,politicsNews,facts
7226,Congressional panel calls for U.S. women's history museum,politicsNews,facts
7227,New York City mayor tells Trump about fear over his policies,politicsNews,facts
7228,"Ahead of Trump meeting, Abe told not to take campaign rhetoric literally",politicsNews,facts
7229,European leaders and Obama to discuss Russia sanctions in Berlin: sources,politicsNews,facts
7230,No new U.S. administration is completely prepared: Biden,politicsNews,facts
7231,Top U.S. diplomat role an unlikely fit for 'tough guy' Giuliani,politicsNews,facts
7232,"Despite Trump, U.S. lawmakers want response to Russia",politicsNews,facts
7233,"No better U.S. ambassador for Prague than Trump's ex-wife, says Czech president",politicsNews,facts
7234,Trump adviser calls for tax reform as bipartisan 'jobs' bill,politicsNews,facts
7235,Chicago City Council passes mayor's 2017 budget,politicsNews,facts
7236,"In valedictory speech, Obama takes note of values he sought in office",politicsNews,facts
7237,Trump infrastructure plan adds little to global copper backdrop,politicsNews,facts
7238,"After Trump victory, Obama and Merkel stress benefits of EU-U.S. trade deal",politicsNews,facts
7239,"Janus' Gross says Trump will be one-termer, in failure for populism",politicsNews,facts
7240,Trump denies trying to get security clearance for his children,politicsNews,facts
7241,Trump team weighs 'infrastructure bank' to fund projects: Trump adviser,politicsNews,facts
7242,U.S. panel urges probe on whether China weakening U.S. militarily,politicsNews,facts
7243,A post-Trump SEC could shake up current policy,politicsNews,facts
7244,"Obama, on last trip to Europe, warns against nationalism, populism",politicsNews,facts
7245,"House reauthorizes Iran sanctions bill, sets Syria sanctions",politicsNews,facts
7246,Trump transition clears first paperwork hurdle: White House,politicsNews,facts
7247,"Trump shuffles transition team, eyes loyalists for Cabinet",politicsNews,facts
7248,Factbox: Short list of potential Trump administration picks,politicsNews,facts
7249,"Immigration hardliner says Trump team preparing plans for wall, mulling Muslim registry",politicsNews,facts
7250,Son-in-law Kushner poised to wield clout in Trump presidency,politicsNews,facts
7251,Bannon role in Trump administration sets off critical firestorm,politicsNews,facts
7252,U.S. says war crimes probe of U.S. forces in Afghanistan unwarranted,politicsNews,facts
7253,Little-known Republican becomes Trump liaison in Congress,politicsNews,facts
7254,"Greek police, protesters clash in Athens during Obama visit",politicsNews,facts
7255,House Speaker Paul Ryan renominated to top House post,politicsNews,facts
7256,Republicans to U.S. securities regulator: Leave new rules to Trump,politicsNews,facts
7257,Trump eyeing Mnuchin and Ross for economy jobs: Icahn,politicsNews,facts
7258,"Exclusive: Billionaire green activist Steyer vows to battle Trump, says money not an issue",politicsNews,facts
7259,Trump could return Iraq war boosters to power,politicsNews,facts
7260,New Yorkers build walls of sticky notes in defiance of Trump,politicsNews,facts
7261,House Democrats mull Pelosi leadership future,politicsNews,facts
7262,Mexico president to show 'pragmatism' dealing with Trump,politicsNews,facts
7263,Texas eyes 'women's privacy act' that critics say targets transgender people,politicsNews,facts
7264,Georgia congressman being eyed for top Trump health post: Politico,politicsNews,facts
7265,Thousands donate to Planned Parenthood in name of anti-abortion U.S. vice president-elect,politicsNews,facts
7266,"Obama administration completes rule to curb methane from federal oil, gas production",politicsNews,facts
7267,North Korea does not care who is president of United States,politicsNews,facts
7268,"Trump, Pence meeting in New York on Cabinet picks",politicsNews,facts
7269,Republican Ben Carson opts against job in Trump Cabinet,politicsNews,facts
